Adam Sandler;1966;szűz;
Al Pacino;1940;bika;1
Alec Baldwin;1958;kos;
Angelina Jolie;1975;ikrek;1
Ashton Kutcher;1978;vízöntő;
Ben Affleck;1972;oroszlán;2
Brad Pitt;1963;nyilas;
Bruce Willis;1955;vízöntő;
Cameron Diaz;1972;szűz;
Cate Blanchett;1969;bika;1
Catherine Zeta-Jones;1969;mérleg;1
Charlie Sheen;1965;szűz;
Daryl Hannah;1960;nyilas;
Demi Moore;1962;skorpió;
Denzel Washington;1954;bak;2
Drew Barrymore;1975;vízöntő;
Dustin Hoffman;1937;oroszlán;2
Emma Watson;1990;kos;
Eva Mendes;1974;halak;
Forest Whitaker;1961;rák;1
Gene Hackman;1930;vízöntő;2
George Clooney;1961;bika;1
Gwyneth Paltrow;1972;mérleg;1
Harrison Ford;1942;rák;
Hugh Garnt;1960;szűz;
Jack Nicholson;1937;bika;3
Jennifer Aniston;1969;vízöntő;
Jennifer Garner;1972;kos;
Jeremy Irons;1948;szűz;
Jessica Alba;1981;bika;
Jodie Foster;1962;skorpió;2
John Travolta;1954;vízöntő;
Johnny Depp;1963;ikrek;
Julia Roberts;1967;skorpió;1
Kate Winslet;1975;mérleg;1
Katie Holmes;1978;nyilas;
Keanu Reeves;1964;szűz;
Kevin Costner;1955;bak;
Kevin Spacey;1959;oroszlán;2
Liv Tyler;1977;rák;
Matthew McConaughey;1969;skorpió;
Meg Ryan;1961;skorpió;
Mel Gibson;1956;bak;
Meryl Streep;1949;rák;2
Natalie Portman;1981;ikrek;
Nicolas Cage;1964;bak;1
Nicole Kidman;1967;ikrek;1
Orlando Bloom;1977;bak;
Reese Witherspoon;1976;kos;
Renée Zellweger;1969;bika;1
Richard Gere;1949;szűz;
Robert De Niro;1943;oroszlán;2
Robin Williams;1951;rák;1
Rowan Atkinson;1955;bak;
Russel Crowe;1964;kos;1
Samuel L. Jackson;1948;nyilas;
Sandra Bullock;1964;oroszlán;
Sean Penn;1960;oroszlán;2
Sharon Stone;1958;vízöntő;
Tom Cruise;1962;rák;
Tom Hanks;1956;rák;2
Tommy Lee Jones;1946;szűz;1
Uma Thurman;1970;bika;
Wesley Snipes;1962;oroszlán;
Whoopi Goldberg;1955;skorpió;1
Will Smith;1968;mérleg;
Winona Ryder;1971;skorpió;
